location,lat,long,category,time,time_classification,date,description,reported
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,fraud,18:35,evening,2024-09-30,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,no
Juja Police Station,-1.0922,37.0131,drug possession,06:49,morning,2024-12-19,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",yes
Juja City Mall,-1.095,37.0165,traffic violations,10:26,morning,2024-10-05,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,traffic violations,20:56,evening,2025-05-09,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.",yes
Highpoint,-1.1,37.015,battery,10:01,morning,2025-02-05,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,yes
Juja City Mall,-1.095,37.0165,robbery,06:25,morning,2024-06-20,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.,no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,phone snatching,20:31,evening,2024-06-25,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.",no
Juja Stage,-1.099,37.02,reckless driving,00:06,night,2025-05-24,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.,no
Juja Market,-1.096,37.0175,armed robbery,03:39,night,2024-10-11,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.,no
Juja City Mall,-1.095,37.0165,armed robbery,06:38,morning,2024-05-27,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.,no
JKUAT Enterprises LTD.,-1.0915,37.014,traffic violations,16:31,afternoon,2025-05-14,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,no
Juja Square,-1.098,37.019,kidnapping,18:01,evening,2025-01-15,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.,yes
Gachororo,-1.0905,37.0119,traffic violations,19:13,evening,2025-02-27,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.",yes
JKUAT Enterprises LTD.,-1.0915,37.014,armed robbery,03:34,night,2025-04-17,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.,no
Juja Police Station,-1.098,37.019,drug trafficking,14:05,afternoon,2025-02-08,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,no
Gachororo,-1.0905,37.0119,sexual harrasment,06:24,morning,2024-07-13,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.,yes
Juja Square,-1.098,37.019,drug possession,21:19,night,2024-06-04,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.",yes
JKUAT Enterprises LTD.,-1.0915,37.014,drug possession,16:11,afternoon,2025-04-21,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.",yes
JKUAT hostels area,-1.09,37.012,drug trafficking,06:09,morning,2025-01-08,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.,yes
Juja City Mall,-1.095,37.0165,assault,13:35,afternoon,2025-03-05,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.,no
JKUAT Enterprises LTD.,-1.0915,37.014,murder,00:59,night,2024-10-31,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT hostels area,-1.09,37.012,fraud,11:36,morning,2025-05-23,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.,no
Juja Market,-1.096,37.0175,drug trafficking,14:13,afternoon,2025-04-28,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.,no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,drug trafficking,13:38,afternoon,2025-07-02,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.",yes
Gate C,-1.0922,37.0131,sexual harrasment,04:37,night,2024-12-12,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,yes
Gate C,-1.0922,37.0131,burglary,10:49,morning,2024-11-03,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT hostels area,-1.09,37.012,fraud,23:08,night,2025-01-23,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,drug trafficking,08:36,morning,2024-11-27,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.,yes
Gate C,-1.0922,37.0131,drug trafficking,00:06,night,2024-07-25,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",no
Juja Market,-1.096,37.0175,traffic violations,05:37,night,2024-08-24,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,yes
Juja Market,-1.096,37.0175,assault,19:36,evening,2025-01-12,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,no
Highpoint,-1.1,37.015,domestic violence,14:00,afternoon,2024-06-08,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,yes
JKUAT Hospital,-1.0932,37.0125,assault,23:07,night,2024-09-17,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,no
Gachororo,-1.0905,37.0119,kidnapping,09:01,morning,2024-06-19,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",no
Juja Stage,-1.099,37.02,burglary,05:24,night,2025-04-03,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,yes
Juja Stage,-1.099,37.02,armed robbery,09:39,morning,2025-01-25,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.",yes
Juja Market,-1.096,37.0175,robbery,21:29,night,2024-09-29,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.,no
Juja Stage,-1.099,37.02,drug trafficking,18:07,evening,2024-08-20,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.,yes
Juja Police Station,-1.0925,37.011,drug trafficking,00:54,night,2025-02-02,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",no
JKUAT Hospital,-1.0915,37.014,drug possession,16:11,afternoon,2025-04-21,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.",yes
Gate C,-1.0922,37.0131,kidnapping,23:35,night,2024-12-24,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.",yes
JKUAT Enterprises LTD.,-1.0915,37.014,sexual harrasment,18:46,evening,2024-08-07,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,yes
Juja Square,-1.098,37.019,fraud,02:14,night,2025-03-08,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",yes
Cherry Park,-1.0948,37.0106,sexual harrasment,05:21,night,2024-09-11,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.,yes
Juja City Mall,-1.095,37.0165,phone snatching,02:52,night,2024-08-13,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT hostels area,-1.09,37.012,reckless driving,17:21,evening,2024-11-22,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,yes
JKUAT Hospital,-1.0922,37.0131,assault,04:06,night,2024-11-23,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,yes
JKUAT Main Gate,-1.0925,37.011,sexual harrasment,19:37,evening,2025-04-26,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,drug possession,16:44,afternoon,2025-03-31,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.",no
Juja City Mall,-1.095,37.0165,battery,23:31,night,2024-11-25,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,burglary,03:17,night,2025-06-14,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,assault,14:02,afternoon,2024-08-07,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.",yes
Gate C,-1.0922,37.0131,sexual harrasment,04:13,night,2025-01-25,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,no
Gate B,-1.0932,37.0125,drug trafficking,18:06,evening,2024-12-21,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.,no
Gate C,-1.0922,37.0131,fraud,04:07,night,2024-06-26,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.",no
Gate B,-1.0932,37.0125,fraud,16:56,afternoon,2025-06-25,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.",no
Gate C,-1.0922,37.0131,drug possession,19:34,evening,2025-02-17,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.",yes
JKUAT Main Gate,-1.0925,37.011,assault,18:32,evening,2025-03-31,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.,yes
Gachororo,-1.0905,37.0119,fraud,01:05,night,2024-09-16,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,yes
Juja Market,-1.096,37.0175,murder,04:12,night,2024-07-17,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.,yes
JKUAT Hospital,-1.099,37.02,drug trafficking,02:52,night,2024-12-21,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,no
Gate B,-1.0932,37.0125,murder,09:29,morning,2025-05-01,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.,yes
Cherry Park,-1.0948,37.0106,battery,19:35,evening,2024-08-07,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.,yes
Gate B,-1.0932,37.0125,traffic violations,00:19,night,2024-11-02,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.,yes
Juja Square,-1.098,37.019,assault,10:34,morning,2025-03-24,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,no
Highpoint,-1.1,37.015,burglary,13:32,afternoon,2024-06-25,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,no
Juja Market,-1.096,37.0175,sexual harrasment,06:09,morning,2024-05-16,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.",yes
Juja City Mall,-1.095,37.0165,fraud,15:51,afternoon,2025-03-06,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,no
JKUAT hostels area,-1.09,37.012,reckless driving,11:12,morning,2025-01-09,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.,no
Gate C,-1.0922,37.0131,burglary,08:29,morning,2024-09-16,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,no
Juja City Mall,-1.095,37.0165,burglary,17:48,evening,2025-05-09,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT hostels area,-1.09,37.012,burglary,14:50,afternoon,2025-05-13,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.",yes
Highpoint,-1.1,37.015,murder,12:54,afternoon,2025-03-14,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.",yes
Gachororo,-1.0905,37.0119,armed robbery,21:48,night,2025-07-08,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.",yes
Juja Market,-1.096,37.0175,traffic violations,10:42,morning,2024-06-06,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.,no
Highpoint,-1.1,37.015,phone snatching,07:45,morning,2024-09-26,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",yes
Gachororo,-1.0905,37.0119,burglary,23:46,night,2025-06-03,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT Enterprises LTD.,-1.0915,37.014,burglary,04:34,night,2024-06-19,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,no
Juja Market,-1.096,37.0175,robbery,13:42,afternoon,2024-06-13,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.",no
Highpoint,-1.1,37.015,reckless driving,23:52,night,2024-07-04,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,yes
JKUAT Hospital,-1.098,37.019,drug trafficking,14:05,afternoon,2025-02-08,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,burglary,12:45,afternoon,2024-11-07,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.,yes
Gachororo,-1.0905,37.0119,battery,11:37,morning,2025-04-10,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.,yes
Juja City Mall,-1.095,37.0165,sexual harrasment,20:27,evening,2024-12-22,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.,no
Gate C,-1.0922,37.0131,phone snatching,13:17,afternoon,2024-12-13,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,sexual harrasment,16:52,afternoon,2025-02-08,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.",yes
Gate C,-1.0922,37.0131,burglary,05:17,night,2025-03-29,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.",yes
Juja Market,-1.096,37.0175,kidnapping,01:28,night,2024-11-04,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,no
Highpoint,-1.1,37.015,domestic violence,09:54,morning,2024-12-12,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.,no
Gate B,-1.0932,37.0125,drug possession,05:47,night,2025-06-13,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,no
Cherry Park,-1.0948,37.0106,robbery,12:40,afternoon,2024-10-15,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,no
Cherry Park,-1.0948,37.0106,armed robbery,18:41,evening,2024-10-13,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.,yes
Highpoint,-1.1,37.015,robbery,10:22,morning,2025-04-28,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,no
Gachororo,-1.0905,37.0119,assault,15:20,afternoon,2025-02-13,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.,no
Gate C,-1.0922,37.0131,burglary,23:57,night,2025-04-15,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.",yes
JKUAT Enterprises LTD.,-1.0915,37.014,robbery,07:05,morning,2024-11-02,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.,no
Juja Stage,-1.099,37.02,robbery,19:46,evening,2024-05-16,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.,yes
Juja Stage,-1.099,37.02,murder,13:39,afternoon,2024-07-14,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.",yes
Gate B,-1.0932,37.0125,kidnapping,09:06,morning,2024-05-03,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.,yes
JKUAT hostels area,-1.09,37.012,battery,15:10,afternoon,2024-05-26,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.",yes
Juja City Mall,-1.095,37.0165,battery,11:55,morning,2025-01-17,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.",yes
Juja Stage,-1.099,37.02,drug trafficking,13:38,afternoon,2024-10-21,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.,yes
JKUAT hostels area,-1.09,37.012,assault,23:51,night,2025-06-02,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,domestic violence,04:02,night,2025-06-05,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.",no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,fraud,05:47,night,2024-11-27,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.,no
Gachororo,-1.0905,37.0119,kidnapping,04:50,night,2025-07-02,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.",yes
Highpoint,-1.1,37.015,burglary,09:25,morning,2024-12-29,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",no
Highpoint,-1.1,37.015,drug trafficking,16:30,afternoon,2024-12-02,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.,no
Juja Stage,-1.099,37.02,battery,13:14,afternoon,2024-07-21,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.,yes
Cherry Park,-1.0948,37.0106,domestic violence,04:43,night,2024-07-11,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.,yes
JKUAT hostels area,-1.09,37.012,sexual harrasment,08:19,morning,2024-09-25,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.,yes
Juja Market,-1.096,37.0175,reckless driving,17:33,evening,2024-07-02,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.",yes
Juja City Mall,-1.095,37.0165,robbery,12:59,afternoon,2024-09-04,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.,yes
Juja Police Station,-1.0932,37.0125,drug possession,14:09,afternoon,2024-08-18,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.,yes
Gachororo,-1.0905,37.0119,traffic violations,13:15,afternoon,2025-06-09,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,traffic violations,00:06,night,2025-07-12,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.",yes
Gate C,-1.0922,37.0131,battery,10:00,morning,2025-02-18,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.",yes
Gate C,-1.0922,37.0131,kidnapping,09:20,morning,2024-11-18,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,no
Juja Square,-1.098,37.019,kidnapping,10:26,morning,2024-10-12,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.",no
Juja City Mall,-1.095,37.0165,traffic violations,06:43,morning,2024-05-01,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.",no
Juja Market,-1.096,37.0175,murder,10:05,morning,2025-03-13,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,yes
JKUAT Main Gate,-1.0925,37.011,assault,16:28,afternoon,2024-08-06,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,no
Cherry Park,-1.0948,37.0106,phone snatching,17:02,evening,2025-02-05,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,robbery,14:11,afternoon,2025-04-14,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.",yes
Gate C,-1.0922,37.0131,domestic violence,14:15,afternoon,2024-10-24,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.,yes
Juja Square,-1.098,37.019,assault,13:25,afternoon,2025-04-23,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,no
Gate C,-1.0922,37.0131,battery,15:07,afternoon,2024-07-09,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.,no
Gachororo,-1.0905,37.0119,drug possession,21:35,night,2024-10-20,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.,no
Highpoint,-1.1,37.015,reckless driving,05:34,night,2024-05-12,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.",yes
Cherry Park,-1.0948,37.0106,robbery,21:08,night,2025-06-20,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.",yes
Juja Square,-1.098,37.019,phone snatching,23:03,night,2025-06-12,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.,no
JKUAT hostels area,-1.09,37.012,assault,16:50,afternoon,2025-05-23,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,no
JKUAT Enterprises LTD.,-1.0915,37.014,murder,17:41,evening,2024-08-12,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.",no
Highpoint,-1.1,37.015,drug trafficking,06:43,morning,2025-06-07,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,yes
